Company,Title,Location,Salary
Valkyrie Intelligence,Senior Data Science Engineer,"Austin, TX 78701 (Downtown area)•Temporarily Remote","$100,000 - $125,000 a year"
spar information systems,Data Scientist ML researcher,"Philadelphia, PA•Temporarily Remote","$72,708 - $140,000 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Philadelphia, PA","$114,700 a year"
Glassdoor,Machine Learning Scientist,"Chicago, IL+1 location","$109,900 - $137,400 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"San Diego, CA","$114,700 a year"
San Diego Gas & Electric,Senior Data Scientist - Risk - 21-61363,"San Diego, CA 92123 (Kearny Mesa area)","$112,700 - $169,100 a year"
Compass Life Sciences,Director of Statistics US - Global Pharma,United States•Remote,"$230,000 a year"
CyberCoders,newSenior Machine Learning Engineer - AI / Deep Learning,"San Diego, CA 92121","$160,000 - $180,000 a year"
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Los Angeles, CA","Up to $155,700 a year"
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Los Angeles, CA•Remote","Up to $112,700 a year"
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Los Angeles, CA+1 location•Remote","Up to $155,700 a year"
DIRECTV,Senior Data Analyst,"Los Angeles, CA","$84,900 - $169,800 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)","$114,700 a year"
Outdefine,newMachine Learning Engineer,"El Segundo, CA 90245•Remote","$85,054 - $234,457 a year"
Los Angeles Homeless Services Authority,Sr. Data Analyst,"Los Angeles, CA 90017 (Downtown area)","$59,987 - $86,831 a year"
spar information systems,newSr. Data Analyst,"Los Angeles, CA•Temporarily Remote","$57,226 - $100,000 a year"
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)","$116,200 a year"
Southern California Association of Governments,Assistant Regional Planner - Data Science,"Los Angeles, CA 90017 (Downtown area)•Temporarily Remote","$71,198 - $92,602 a year"
"Amazon Web Services, Inc.",Associate Data & Machine Learning Engineer,"Los Angeles, CA","$82,600 a year"
CyberCoders,new100% REMOTE Sr. Data Scientist,"Los Angeles, CA 90015•Remote","$120,000 - $180,000 a year"
Glassdoor,"Senior Product Manager, Machine Learning","Los Angeles, CA","$132,000 - $165,000 a year"
spar information systems,AI/ML Engineer (MAF Framework),"Philadelphia, PA•Temporarily Remote","$31,784 - $118,322 a year"
PSCI,Senior Business Data Analyst,"Wilmington, DE 19801 (Trinity Vicinity area)","$90,000 - $120,000 a year"
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Atlanta, GA","Up to $155,700 a year"
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Atlanta, GA•Remote","Up to $112,700 a year"
Globalpointinc.com,newLead Data Scientist,"Alpharetta, GA•Remote","$76,684 - $198,967 a year"
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Atlanta, GA+1 location•Remote","Up to $155,700 a year"
Salesforce,Applied Scientist,"Atlanta, GA 30326 (Lenox area)","$82,400 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Atlanta, GA","$114,700 a year"
CEDENT,Sr Data Scientist,"Atlanta, GA","$100,000 - $135,000 a year"
"Centers for Disease Control & Prevention, National...",Service Fellow / Statistician,"Chamblee, GA 30341•Temporarily Remote","$81,000 - $97,000 a year"
Harnham,Lead Data Scientist,"Atlanta, GA","$160,000 - $180,000 a year"
S&P Global,Lead Data Scientist,"Atlanta, GA 30301 (Buckhead area)•Remote","$67,600 - $190,100 a year"
Atlanta Regional Commission,"Data Analyst, Senior","Atlanta, GA 30303 (Downtown area)","$53,828 - $72,668 a year"
Symphony RetailAI,Data Architect,"Atlanta, GA 30338•Remote","$90,729 - $170,741 a year"
Western Union,"Leader, Data and Pricing Science","Alpharetta, GA","$98,081 - $163,468 a year"
Interos,"newSenior Software Engineer, Data","Atlanta, GA 30349","$95,257 - $110,210 a year"
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Atlanta, GA 30326 (Lenox area)","$121,800 a year"
"City of Dallas, TX",newDBI-Data Science Analyst I (Non-Civil Service),"Dallas, TX 75201 (Government District area)","$57,656 - $72,070 a year"
Valkyrie Intelligence,Senior Data Scientist,"Dallas-Fort Worth, TX•Temporarily Remote","$100,000 - $125,000 a year"
OnPoint,Senior Data Scientist,"Dallas, TX 75201","$100,000 - $160,000 a year"
Edgetensor Technologies,newComputer Vision/Machine Learning Engineer (FT),"Dallas, TX","$90,000 - $140,000 a year"
Keasis Inc.,Machine Learning Engineer (Full time/ No third party consult...,"Irving, TX•Temporarily Remote","$84,782 - $100,000 a year"
Keasis Inc.,Machine Learning Engineer (No third party consultants),"Irving, TX•Temporarily Remote","$84,782 - $110,000 a year"
AT&T,Senior Data Analyst,"Dallas, TX","$84,900 - $169,800 a year"
Cottonwood Financial,Data Scientist - Marketing Analytics,"Irving, TX 75038 (Cottonwood area)+1 location","$75,850 a year"
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Dallas, TX","$116,200 a year"
Cottonwood Financial,Data Scientist - Marketing Analytics,"Irving, TX 75038 (Cottonwood area)","$75,850 a year"
Builders FirstSource,Senior Sales Data Analyst,"Dallas, TX 75201 (City Center District area)","$80,566 - $98,784 a year"
