Company,Title,Location,Salary
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Boulder, CO+1 location","$116,200 a year"
Workday,Machine Learning Engineer - ML Ops,"Boulder, CO 80301","$128,200 a year"
IBM,Analytic Data Scientist (TS/SCI + CI Poly),"Denver, CO+1 location","$107,000 - $194,000 a year"
S&P Global,Lead Data Scientist,"Denver, CO 80201•Remote","$67,600 - $190,100 a year"
Xcel Energy,newSenior Data Analyst,"Denver, CO 80202 (Union Station area)•Temporarily Remote","$77,000 - $109,666 a year"
Wiland,Client Solutions Statistician,"Niwot, CO 80503","$67,000 - $84,000 a year"
Workday,"newSr. Associate Product Manager, Machine Learning for Financia...","Boulder, CO 80301","$76,000 a year"
Amazon.com Services LLC,SDE- Measurement & Data Science- 2021,"Boulder, CO","$122,200 - $160,000 a year"
Workday,newSenior Software Engineer - Machine Learning,"Boulder, CO 80301","$134,100 a year"
Oracle,Director of Data Science,"Broomfield, CO 80021 (Interlocken area)","$140,000 - $272,000 a year"
BI Incorporated (A GEO Company),"FINANCIAL DATA ANALYST, SR","Longmont, CO+1 location","$70,000 - $80,000 a year"
Teladoc Health,Machine Learning Engineer,"Denver, CO+1 location","$120,000 - $165,000 a year"
Amazon.com Services LLC,Machine Learning Engineer II,"Louisville, CO+1 location","$120,700 a year"
Amazon.com Services LLC,Machine Learning Engineer II,"Louisville, CO","$120,700 a year"
"Stefanini, Inc",newMachine Learning (ML),"Dearborn, MI","$130,000 - $150,000 a year"
aThingz Inc.,Senior Data Scientist,"Southfield, MI 48075","$80,000 - $100,000 a year"
Boys & Girls Clubs of Southeastern Michigan,Fall 2021 Data Science Industry Club Fellowship,"Detroit, MI 48228","$116,100 a year"
PepsiCo,Statistical Programmer (SAS),"Canton, MI","$77,900 - $112,900 a year"
